Date,Open,High,Low,Close,Adj Close,Volume
2006-12-14,62.290001,62.470001,62.040001,62.119999,62.119999,2237300
2006-12-15,62.209999,62.220001,60.930000,61.000000,61.000000,7427800
2006-12-18,60.849998,61.110001,60.650002,61.040001,61.040001,3880800
2006-12-19,61.200001,61.830002,61.180000,61.799999,61.799999,4254900
2006-12-20,61.639999,61.799999,61.450001,61.619999,61.619999,2979300
2006-12-21,61.580002,61.700001,61.270000,61.380001,61.380001,2483300
2006-12-22,61.450001,61.799999,61.320000,61.650002,61.650002,1367400
2006-12-26,62.240002,62.450001,61.869999,61.980000,61.980000,1975200
2006-12-27,62.299999,62.459999,62.169998,62.220001,62.220001,3063500
2006-12-28,62.970001,63.049999,62.689999,62.900002,62.900002,2538900
2006-12-29,62.910000,63.250000,62.880001,63.209999,63.209999,2117200
