Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,154.759995,156.300003,154.550003,155.919998,155.919998,13385800
2012-01-04,155.429993,157.380005,155.339996,156.710007,156.710007,11549700
2012-01-05,155.369995,158.029999,155.250000,157.779999,157.779999,11621600
2012-01-06,158.589996,158.630005,156.380005,157.199997,157.199997,9790500
2012-01-09,157.360001,157.589996,156.190002,156.500000,156.500000,8771900
2012-01-10,158.970001,159.470001,158.470001,158.639999,158.639999,8371400
2012-01-11,159.339996,160.050003,158.910004,159.669998,159.669998,7968500
2012-01-12,161.020004,161.619995,159.830002,160.380005,160.380005,8602500
2012-01-13,159.320007,159.589996,158.009995,159.259995,159.259995,8910300
2012-01-17,161.169998,161.649994,160.419998,160.500000,160.500000,8313300
2012-01-18,159.940002,161.639999,159.679993,161.600006,161.600006,9341200
2012-01-19,160.960007,161.449997,160.330002,161.220001,161.220001,8114200
2012-01-20,160.500000,162.089996,160.000000,162.070007,162.070007,11616700
2012-01-23,162.320007,163.470001,162.320007,163.160004,163.160004,8832100
2012-01-24,161.809998,162.369995,161.529999,162.009995,162.009995,7502100
2012-01-25,161.070007,166.550003,160.289993,166.419998,166.419998,28957700
2012-01-26,168.050003,168.309998,167.050003,167.270004,167.270004,19143800
2012-01-27,167.440002,169.000000,167.410004,168.970001,168.970001,13030100
2012-01-30,168.190002,168.539993,167.740005,168.029999,168.029999,8438000
2012-01-31,169.770004,169.860001,167.720001,169.309998,169.309998,11192500
2012-02-01,169.750000,170.179993,169.080002,169.559998,169.559998,7734200
2012-02-02,169.960007,171.229996,169.679993,171.050003,171.050003,11509600
2012-02-03,169.880005,170.139999,167.509995,167.639999,167.639999,23355300
2012-02-06,166.960007,167.679993,166.610001,167.179993,167.179993,8807400
2012-02-07,167.380005,170.089996,167.149994,169.699997,169.699997,11614300
2012-02-08,169.259995,169.960007,167.500000,168.500000,168.500000,10655500
2012-02-09,170.009995,170.369995,167.669998,168.020004,168.020004,16085200
