Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,52.790001,54.020000,52.759998,53.799999,51.129227,13011400
2012-01-04,53.610001,54.540001,53.340000,53.740002,51.072212,8184000
2012-01-05,53.259998,54.270000,52.759998,53.900002,51.224262,7415800
2012-01-06,54.130001,54.290001,53.220001,53.349998,50.701565,7757700
2012-01-09,53.549999,53.950001,53.180000,53.650002,50.986671,5513900
2012-01-10,54.799999,55.070000,54.389999,54.470001,51.765972,6615000
2012-01-11,54.459999,54.509998,53.669998,54.310001,51.613911,6838500
2012-01-12,54.840000,55.450001,54.310001,54.720001,52.003555,8358700
2012-01-13,54.040001,54.169998,53.230000,54.049999,51.366817,7322500
2012-01-17,54.540001,54.540001,52.860001,53.180000,50.540005,8412800
2012-01-18,53.070000,53.580002,52.950001,53.240002,50.597027,7007800
2012-01-19,53.169998,53.419998,51.580002,52.150002,49.561138,12918900
2012-01-20,52.070000,52.779999,51.750000,52.180000,49.589649,8845400
2012-01-23,52.419998,53.270000,52.419998,53.009998,50.378445,12818900
2012-01-24,52.509998,52.580002,51.709999,51.820000,49.247520,12761700
2012-01-25,51.580002,55.410000,51.270000,55.230000,52.488239,26995600
2012-01-26,56.060001,56.779999,55.509998,55.759998,52.991924,20174200
2012-01-27,55.799999,57.369999,55.720001,57.139999,54.303421,14823200
2012-01-30,56.400002,56.910000,55.799999,56.459999,53.657177,8660600
2012-01-31,57.520000,57.709999,55.750000,56.459999,53.657177,14442300
2012-02-01,57.040001,57.150002,56.369999,56.560001,53.752213,8178400
2012-02-02,57.090000,57.939999,56.689999,57.470001,54.617039,10696000
2012-02-03,56.770000,56.939999,55.950001,56.439999,53.638172,16557400
2012-02-06,56.020000,56.799999,55.860001,56.180000,53.391079,9668400
2012-02-07,56.090000,56.650002,55.290001,55.880001,53.105972,13118400
2012-02-08,56.139999,56.529999,55.369999,55.540001,52.782852,8798100
2012-02-09,56.200001,56.430000,55.250000,55.250000,52.507244,8596700
2012-02-10,54.540001,54.840000,54.080002,54.490002,51.784977,9900900
2012-02-13,54.759998,54.919998,54.130001,54.299999,51.604408,6050800
2012-02-14,54.299999,54.549999,53.189999,53.770000,51.100712,10699100
2012-02-15,54.430000,54.459999,53.520000,53.560001,50.901142,10014200
2012-02-16,52.939999,55.150002,52.689999,54.950001,52.222141,15885900
2012-02-17,55.299999,55.349998,54.040001,54.150002,51.461853,9653200
2012-02-21,55.009998,55.849998,54.700001,55.820000,53.048946,11722700
2012-02-22,55.580002,57.000000,55.310001,56.830002,54.008816,13146400
2012-02-23,57.040001,57.709999,56.770000,57.259998,54.417465,14465100
2012-02-24,57.150002,57.290001,56.180000,56.459999,53.657177,9122200
2012-02-27,56.270000,56.639999,55.730000,56.060001,53.277035,8395400
2012-02-28,56.549999,57.439999,56.200001,57.330002,54.483997,15019900
2012-02-29,57.509998,57.910000,54.869999,55.400002,52.649803,34053800
2012-03-01,55.540001,56.380001,55.209999,55.889999,53.115479,15032900
2012-03-02,55.389999,55.529999,54.509998,54.790001,52.070087,12757700
2012-03-05,54.340000,54.439999,53.220001,53.619999,50.958160,13539600
2012-03-06,52.549999,52.580002,51.639999,52.470001,49.865253,20943600
2012-03-07,52.580002,52.919998,51.930000,52.669998,50.055317,11751800
2012-03-08,53.230000,53.709999,52.470001,53.320000,50.673054,9950500
2012-03-09,52.950001,53.939999,52.639999,53.240002,50.597027,8384800
2012-03-12,52.950001,53.240002,52.220001,52.369999,49.770214,8761400
2012-03-13,52.209999,52.860001,51.790001,52.110001,49.523121,13602500
2012-03-14,51.349998,51.349998,49.680000,50.119999,47.631908,24309200
2012-03-15,50.230000,50.939999,49.919998,50.139999,47.650917,11196700
2012-03-16,49.950001,50.310001,49.799999,49.930000,47.451344,11395500
2012-03-19,50.070000,50.520000,49.590000,49.599998,47.137726,11432600
2012-03-20,48.990002,49.990002,48.419998,49.860001,47.384819,15287200
2012-03-21,50.270000,50.500000,49.720001,49.759998,47.289780,14024800
2012-03-22,48.759998,49.130001,48.450001,48.750000,46.329918,11460500
2012-03-23,49.080002,50.060001,48.830002,49.759998,47.289780,14594200
2012-03-26,50.810001,50.950001,50.200001,50.630001,48.116600,12638700
2012-03-27,50.840000,50.860001,49.799999,49.910000,47.432335,10166200
2012-03-28,49.650002,49.750000,48.630001,48.930000,46.500984,14557900
2012-03-29,48.759998,49.090000,48.049999,49.060001,46.624531,12259600
2012-03-30,49.619999,49.630001,48.810001,49.540001,47.080704,9890400
2012-04-02,49.540001,50.759998,49.419998,50.389999,47.888508,13114500
2012-04-03,50.470001,50.470001,48.349998,48.750000,46.329918,17390400
2012-04-04,47.730000,47.770000,46.009998,46.709999,44.391193,27237700
